before {'accuracy': 0.044921875, 'correct_probability': 0.09788074158132076}
{'step': 1, 'reward': 0.138671875, 'group_hit': 0.875, 'pg': 0.004423690028488636, 'kl': 0.0, 'kl_ema': 0.0, 'kl_beta': 0.09512294245007141, 'grad_norm': 0.623779296875}
{'step': 230, 'reward': 0.109375, 'group_hit': 0.84375, 'pg': -0.010071639902889729, 'kl': 0.043184682726860046, 'kl_ema': 0.05294764136447786, 'kl_beta': 0.00633636942310419, 'grad_norm': 0.6580289006233215}
{'step': 235, 'reward': 0.125, 'group_hit': 0.8125, 'pg': 0.0019380617886781693, 'kl': 0.05403384566307068, 'kl_ema': 0.053302020905968646, 'kl_beta': 0.00687925171260845, 'grad_norm': 0.6104839444160461}
{'step': 240, 'reward': 0.09375, 'group_hit': 0.71875, 'pg': -0.00686095654964447, 'kl': 0.0364636555314064, 'kl_ema': 0.04977955087219892, 'kl_beta': 0.007379303743730261, 'grad_norm': 0.4425756335258484}
{'step': 245, 'reward': 0.12109375, 'group_hit': 0.84375, 'pg': -0.005980825051665306, 'kl': 0.046347349882125854, 'kl_ema': 0.04906760574045911, 'kl_beta': 0.007854716585836632, 'grad_norm': 0.7656875848770142}
{'step': 250, 'reward': 0.076171875, 'group_hit': 0.78125, 'pg': 1.24429352581501e-05, 'kl': 0.04851619899272919, 'kl_ema': 0.04985497709890082, 'kl_beta': 0.008341197054069908, 'grad_norm': 0.42654070258140564}
{'step': 255, 'reward': 0.083984375, 'group_hit': 0.71875, 'pg': 0.007879265584051609, 'kl': 0.06256812065839767, 'kl_ema': 0.050435360463761764, 'kl_beta': 0.008864621908161032, 'grad_norm': 0.38998326659202576}
{'step': 260, 'reward': 0.087890625, 'group_hit': 0.78125, 'pg': 0.005155064165592194, 'kl': 0.049826670438051224, 'kl_ema': 0.049770251453537036, 'kl_beta': 0.009413862019596216, 'grad_norm': 0.456503301858902}
{'step': 265, 'reward': 0.099609375, 'group_hit': 0.71875, 'pg': -0.008120199665427208, 'kl': 0.07869060337543488, 'kl_ema': 0.05579193152654141, 'kl_beta': 0.010218513654326546, 'grad_norm': 0.805613100528717}
{'step': 270, 'reward': 0.125, 'group_hit': 0.9375, 'pg': -0.00596237275749445, 'kl': 0.052728064358234406, 'kl_ema': 0.057076056175934864, 'kl_beta': 0.011165652905177285, 'grad_norm': 0.5706935524940491}
{'step': 275, 'reward': 0.103515625, 'group_hit': 0.84375, 'pg': -0.011968415230512619, 'kl': 0.0492364764213562, 'kl_ema': 0.05741885651998222, 'kl_beta': 0.012534086069753838, 'grad_norm': 0.4639135003089905}
{'step': 280, 'reward': 0.119140625, 'group_hit': 0.875, 'pg': -0.011626286432147026, 'kl': 0.0466165654361248, 'kl_ema': 0.05887943691235684, 'kl_beta': 0.014007285674079217, 'grad_norm': 0.6426209211349487}
{'step': 285, 'reward': 0.125, 'group_hit': 0.90625, 'pg': -0.010576548054814339, 'kl': 0.04456651210784912, 'kl_ema': 0.05407289592464439, 'kl_beta': 0.015403214807953878, 'grad_norm': 0.49446985125541687}
{'step': 290, 'reward': 0.11328125, 'group_hit': 0.8125, 'pg': -0.00386080052703619, 'kl': 0.08980606496334076, 'kl_ema': 0.059469382669062876, 'kl_beta': 0.017102343460738703, 'grad_norm': 0.5500574707984924}
