before {'accuracy': 0.044921875, 'correct_probability': 0.09788074158132076}
{'step': 320, 'reward': 0.125, 'group_hit': 0.71875, 'pg': -0.03287988528609276, 'kl': 0.03086407668888569, 'grad_norm': 0.577511191368103}
{'step': 325, 'reward': 0.09765625, 'group_hit': 0.8125, 'pg': -0.0013461727648973465, 'kl': 0.01453552208840847, 'grad_norm': 0.4259619116783142}
{'step': 330, 'reward': 0.087890625, 'group_hit': 0.65625, 'pg': -0.007967133074998856, 'kl': 0.025299720466136932, 'grad_norm': 0.48458024859428406}
{'step': 335, 'reward': 0.1015625, 'group_hit': 0.78125, 'pg': -0.0029078489169478416, 'kl': 0.028723280876874924, 'grad_norm': 0.6222521662712097}
{'step': 340, 'reward': 0.103515625, 'group_hit': 0.78125, 'pg': -0.01785602793097496, 'kl': 0.02355058491230011, 'grad_norm': 0.4493747055530548}
{'step': 345, 'reward': 0.107421875, 'group_hit': 0.8125, 'pg': -0.0027181673794984818, 'kl': 0.027227263897657394, 'grad_norm': 0.46415355801582336}
{'step': 350, 'reward': 0.09765625, 'group_hit': 0.6875, 'pg': -0.00798107497394085, 'kl': 0.017558379098773003, 'grad_norm': 0.5494663715362549}
{'step': 355, 'reward': 0.115234375, 'group_hit': 0.75, 'pg': -0.016583168879151344, 'kl': 0.02402515709400177, 'grad_norm': 0.71367347240448}
{'step': 360, 'reward': 0.10546875, 'group_hit': 0.8125, 'pg': -0.002276625484228134, 'kl': 0.02797318622469902, 'grad_norm': 0.6293094158172607}
{'step': 365, 'reward': 0.107421875, 'group_hit': 0.6875, 'pg': -0.004446575418114662, 'kl': 0.01953539438545704, 'grad_norm': 0.5000077486038208}
{'step': 370, 'reward': 0.08984375, 'group_hit': 0.78125, 'pg': -0.021103354170918465, 'kl': 0.028804870322346687, 'grad_norm': 0.5296412110328674}
{'step': 375, 'reward': 0.111328125, 'group_hit': 0.84375, 'pg': 0.0014179940335452557, 'kl': 0.021570157259702682, 'grad_norm': 0.47307783365249634}
{'step': 380, 'reward': 0.09765625, 'group_hit': 0.78125, 'pg': -0.007586192339658737, 'kl': 0.02237103506922722, 'grad_norm': 0.5132765769958496}
{'step': 385, 'reward': 0.099609375, 'group_hit': 0.84375, 'pg': -0.0070109618827700615, 'kl': 0.02566836029291153, 'grad_norm': 0.5513648390769958}
{'step': 390, 'reward': 0.083984375, 'group_hit': 0.71875, 'pg': -0.00458112359046936, 'kl': 0.022263173013925552, 'grad_norm': 0.4322865307331085}
{'step': 395, 'reward': 0.091796875, 'group_hit': 0.625, 'pg': -0.014613863080739975, 'kl': 0.01543221715837717, 'grad_norm': 0.649966835975647}
{'step': 400, 'reward': 0.111328125, 'group_hit': 0.875, 'pg': -0.016436748206615448, 'kl': 0.032937824726104736, 'grad_norm': 0.6541858911514282}
{'step': 405, 'reward': 0.119140625, 'group_hit': 0.84375, 'pg': -0.016437994316220284, 'kl': 0.03749772533774376, 'grad_norm': 0.7516999840736389}
{'step': 410, 'reward': 0.1328125, 'group_hit': 0.84375, 'pg': -0.012482482008635998, 'kl': 0.043379511684179306, 'grad_norm': 0.6232784390449524}
{'step': 415, 'reward': 0.099609375, 'group_hit': 0.6875, 'pg': -0.026659660041332245, 'kl': 0.026844937354326248, 'grad_norm': 0.47602471709251404}
{'step': 420, 'reward': 0.1015625, 'group_hit': 0.78125, 'pg': -0.001185363158583641, 'kl': 0.047700121998786926, 'grad_norm': 0.5658010840415955}
{'step': 425, 'reward': 0.11328125, 'group_hit': 0.78125, 'pg': -5.371496081352234e-05, 'kl': 0.028365427628159523, 'grad_norm': 0.46670687198638916}
{'step': 430, 'reward': 0.130859375, 'group_hit': 0.9375, 'pg': -0.008861321024596691, 'kl': 0.022189851850271225, 'grad_norm': 0.6541783213615417}
{'step': 435, 'reward': 0.123046875, 'group_hit': 0.90625, 'pg': -0.002776138484477997, 'kl': 0.03371979296207428, 'grad_norm': 0.5411284565925598}
{'step': 440, 'reward': 0.111328125, 'group_hit': 0.84375, 'pg': -0.0005248989909887314, 'kl': 0.02828478254377842, 'grad_norm': 0.6241950392723083}
{'step': 445, 'reward': 0.123046875, 'group_hit': 0.78125, 'pg': -0.01886625960469246, 'kl': 0.03925001621246338, 'grad_norm': 0.6449112892150879}
{'step': 450, 'reward': 0.11328125, 'group_hit': 0.8125, 'pg': -0.006574720144271851, 'kl': 0.05352836847305298, 'grad_norm': 0.6903935074806213}
{'step': 455, 'reward': 0.123046875, 'group_hit': 0.8125, 'pg': -0.014299486763775349, 'kl': 0.02688317559659481, 'grad_norm': 0.5776544809341431}
{'step': 460, 'reward': 0.126953125, 'group_hit': 0.8125, 'pg': -0.011660100892186165, 'kl': 0.028734412044286728, 'grad_norm': 0.6484401822090149}
{'step': 465, 'reward': 0.091796875, 'group_hit': 0.6875, 'pg': -0.00440217973664403, 'kl': 0.019330181181430817, 'grad_norm': 0.4271334707736969}
{'step': 470, 'reward': 0.11328125, 'group_hit': 0.875, 'pg': -0.012239919044077396, 'kl': 0.027375200763344765, 'grad_norm': 0.4894183576107025}
{'step': 475, 'reward': 0.12109375, 'group_hit': 0.84375, 'pg': -0.02430446818470955, 'kl': 0.04184442758560181, 'grad_norm': 0.6618576645851135}
{'step': 480, 'reward': 0.125, 'group_hit': 0.84375, 'pg': -0.021274350583553314, 'kl': 0.023971524089574814, 'grad_norm': 0.8408746719360352}
{'step': 485, 'reward': 0.107421875, 'group_hit': 0.875, 'pg': -0.009433623403310776, 'kl': 0.027904603630304337, 'grad_norm': 0.5230022072792053}
